Year,global_male_medal_efficiency,global_female_medal_efficiency,global_total_medal_efficiency
1896,1.08,0,1.08
1900,0.888,0.565,0.882
1904,1.264,2,1.271
1906,1.02,1.667,1.025
1908,0.892,0.886,0.892
1912,0.806,1.17,0.814
1920,0.955,1,0.956
1924,0.555,0.55,0.555
1928,0.451,0.638,0.468
1932,0.737,0.577,0.72
1936,0.423,0.465,0.426
1948,0.407,0.417,0.408
1952,0.361,0.442,0.37
1956,0.494,0.564,0.503
1960,0.344,0.423,0.354
1964,0.386,0.51,0.404
1968,0.359,0.497,0.379
1972,0.345,0.408,0.355
1976,0.402,0.582,0.439
1980,0.479,0.718,0.53
1984,0.379,0.587,0.426
1988,0.347,0.465,0.377
1992,0.35,0.414,0.369
1994,0.39,0.368,0.383
1996,0.336,0.448,0.374
1998,0.378,0.49,0.419
2000,0.368,0.428,0.391
2002,0.356,0.481,0.402
2004,0.39,0.438,0.409
2006,0.365,0.497,0.416
2008,0.371,0.427,0.395
2010,0.394,0.439,0.412
2012,0.369,0.401,0.383
2014,0.374,0.467,0.412
2016,0.362,0.4,0.379
2020,0.245,0.057,0.145
