id,Region,Year,male_medal_efficiency,female_medal_efficiency,total_medal_efficiency
1936_AFG,AFG,1936,0,0,0
1948_AFG,AFG,1948,0,0,0
1956_AFG,AFG,1956,0,0,0
1960_AFG,AFG,1960,0,0,0
1964_AFG,AFG,1964,0,0,0
1968_AFG,AFG,1968,0,0,0
1972_AFG,AFG,1972,0,0,0
1980_AFG,AFG,1980,0,0,0
1988_AFG,AFG,1988,0,0,0
1996_AFG,AFG,1996,0,0,0
2004_AFG,AFG,2004,0,0,0
2008_AFG,AFG,2008,0.333,0,0.25
2012_AFG,AFG,2012,0.2,0,0.167
2016_AFG,AFG,2016,0,0,0
1952_AHO,AHO,1952,0,0,0
1960_AHO,AHO,1960,0,0,0
1964_AHO,AHO,1964,0,0,0
1968_AHO,AHO,1968,0,0,0
1972_AHO,AHO,1972,0,0,0
1976_AHO,AHO,1976,0,0,0
1984_AHO,AHO,1984,0,0,0
1988_AHO,AHO,1988,0.5,0,0.4
1992_AHO,AHO,1992,0,0,0
1996_AHO,AHO,1996,0,0,0
2000_AHO,AHO,2000,0,0,0
2004_AHO,AHO,2004,0,0,0
2008_AHO,AHO,2008,0,0,0
1972_ALB,ALB,1972,0,0,0
1992_ALB,ALB,1992,0,0,0
1996_ALB,ALB,1996,0,0,0
2000_ALB,ALB,2000,0,0,0
2004_ALB,ALB,2004,0,0,0
2006_ALB,ALB,2006,0,0,0
2008_ALB,ALB,2008,0,0,0
2010_ALB,ALB,2010,0,0,0
2012_ALB,ALB,2012,0,0,0
2014_ALB,ALB,2014,0,0,0
2016_ALB,ALB,2016,0,0,0
1964_ALG,ALG,1964,0,0,0
1968_ALG,ALG,1968,0,0,0
1972_ALG,ALG,1972,0,0,0
1980_ALG,ALG,1980,0,0,0
1984_ALG,ALG,1984,0.061,0,0.061
1988_ALG,ALG,1988,0,0,0
1992_ALG,ALG,1992,0.028,1.333,0.128
1996_ALG,ALG,1996,0.231,0,0.2
2000_ALG,ALG,2000,0.135,0.4,0.191
2004_ALG,ALG,2004,0,0,0
2006_ALG,ALG,2006,0,0,0
2008_ALG,ALG,2008,0.059,0.045,0.054
2010_ALG,ALG,2010,0,0,0
2012_ALG,ALG,2012,0.19,0,0.105
2016_ALG,ALG,2016,0,0,0
1976_AND,AND,1976,0,0,0
1980_AND,AND,1980,0,0,0
1984_AND,AND,1984,0,0,0
1988_AND,AND,1988,0,0,0
1992_AND,AND,1992,0,0,0
1994_AND,AND,1994,0,0,0
1996_AND,AND,1996,0,0,0
1998_AND,AND,1998,0,0,0
2000_AND,AND,2000,0,0,0
2002_AND,AND,2002,0,0,0
2004_AND,AND,2004,0,0,0
2006_AND,AND,2006,0,0,0
2008_AND,AND,2008,0,0,0
2010_AND,AND,2010,0,0,0
2012_AND,AND,2012,0,0,0
2014_AND,AND,2014,0,0,0
