id,Region,Year,male_participants,female_participants,total_participants,male_participation_rate,female_participation_rate
1936_AFG,AFG,1936,15,0,15,1,0
1948_AFG,AFG,1948,25,0,25,1,0
1956_AFG,AFG,1956,12,0,12,1,0
1960_AFG,AFG,1960,12,0,12,1,0
1964_AFG,AFG,1964,8,0,8,1,0
1968_AFG,AFG,1968,5,0,5,1,0
1972_AFG,AFG,1972,8,0,8,1,0
1980_AFG,AFG,1980,11,0,11,1,0
1988_AFG,AFG,1988,5,0,5,1,0
1996_AFG,AFG,1996,2,0,2,1,0
2004_AFG,AFG,2004,3,2,5,0.6,0.4
2008_AFG,AFG,2008,3,1,4,0.75,0.25
2012_AFG,AFG,2012,5,1,6,0.833,0.167
2016_AFG,AFG,2016,2,1,3,0.667,0.333
1952_AHO,AHO,1952,11,0,11,1,0
1960_AHO,AHO,1960,5,0,5,1,0
1964_AHO,AHO,1964,4,0,4,1,0
1968_AHO,AHO,1968,3,2,5,0.6,0.4
1972_AHO,AHO,1972,2,0,2,1,0
1976_AHO,AHO,1976,4,0,4,1,0
1984_AHO,AHO,1984,3,5,8,0.375,0.625
1988_AHO,AHO,1988,4,1,5,0.8,0.2
1992_AHO,AHO,1992,5,1,6,0.833,0.167
1996_AHO,AHO,1996,6,0,6,1,0
2000_AHO,AHO,2000,6,1,7,0.857,0.143
2004_AHO,AHO,2004,3,0,3,1,0
2008_AHO,AHO,2008,3,0,3,1,0
1972_ALB,ALB,1972,4,1,5,0.8,0.2
1992_ALB,ALB,1992,5,2,7,0.714,0.286
1996_ALB,ALB,1996,3,4,7,0.429,0.571
2000_ALB,ALB,2000,2,2,4,0.5,0.5
2004_ALB,ALB,2004,5,2,7,0.714,0.286
2008_ALB,ALB,2008,7,4,11,0.636,0.364
2012_ALB,ALB,2012,6,3,9,0.667,0.333
2016_ALB,ALB,2016,3,3,6,0.5,0.5
1964_ALG,ALG,1964,1,0,1,1,0
1968_ALG,ALG,1968,3,0,3,1,0
1972_ALG,ALG,1972,5,0,5,1,0
1980_ALG,ALG,1980,54,0,54,1,0
1984_ALG,ALG,1984,33,0,33,1,0
1988_ALG,ALG,1988,40,2,42,0.952,0.048
1992_ALG,ALG,1992,36,3,39,0.923,0.077
1996_ALG,ALG,1996,39,6,45,0.867,0.133
2000_ALG,ALG,2000,37,10,47,0.787,0.213
2004_ALG,ALG,2004,46,15,61,0.754,0.246
2008_ALG,ALG,2008,34,22,56,0.607,0.393
2012_ALG,ALG,2012,21,17,38,0.553,0.447
2016_ALG,ALG,2016,54,10,64,0.844,0.156
