id,Region,Year,male_participants,female_participants,total_participants,male_gold_medals,male_silver_medals,male_bronze_medals,female_gold_medals,female_silver_medals,female_bronze_medals,male_total_medals,female_total_medals,total_medals
1936_AFG,AFG,1936,15,0,15,0,0,0,0,0,0,0,0,0
1948_AFG,AFG,1948,25,0,25,0,0,0,0,0,0,0,0,0
1956_AFG,AFG,1956,12,0,12,0,0,0,0,0,0,0,0,0
1960_AFG,AFG,1960,12,0,12,0,0,0,0,0,0,0,0,0
1964_AFG,AFG,1964,8,0,8,0,0,0,0,0,0,0,0,0
1968_AFG,AFG,1968,5,0,5,0,0,0,0,0,0,0,0,0
1972_AFG,AFG,1972,8,0,8,0,0,0,0,0,0,0,0,0
1980_AFG,AFG,1980,11,0,11,0,0,0,0,0,0,0,0,0
1988_AFG,AFG,1988,5,0,5,0,0,0,0,0,0,0,0,0
1996_AFG,AFG,1996,2,0,2,0,0,0,0,0,0,0,0,0
2004_AFG,AFG,2004,3,2,5,0,0,0,0,0,0,0,0,0
2008_AFG,AFG,2008,3,1,4,0,0,1,0,0,0,1,0,1
2012_AFG,AFG,2012,5,1,6,0,0,1,0,0,0,1,0,1
2016_AFG,AFG,2016,2,1,3,0,0,0,0,0,0,0,0,0
1952_AHO,AHO,1952,11,0,11,0,0,0,0,0,0,0,0,0
1960_AHO,AHO,1960,5,0,5,0,0,0,0,0,0,0,0,0
1964_AHO,AHO,1964,4,0,4,0,0,0,0,0,0,0,0,0
1968_AHO,AHO,1968,3,2,5,0,0,0,0,0,0,0,0,0
1972_AHO,AHO,1972,2,0,2,0,0,0,0,0,0,0,0,0
1976_AHO,AHO,1976,4,0,4,0,0,0,0,0,0,0,0,0
1984_AHO,AHO,1984,3,5,8,0,0,0,0,0,0,0,0,0
1988_AHO,AHO,1988,4,1,5,0,1,0,0,0,0,1,0,1
1992_AHO,AHO,1992,5,1,6,0,0,0,0,0,0,0,0,0
1996_AHO,AHO,1996,6,0,6,0,0,0,0,0,0,0,0,0
2000_AHO,AHO,2000,6,1,7,0,0,0,0,0,0,0,0,0
2004_AHO,AHO,2004,3,0,3,0,0,0,0,0,0,0,0,0
2008_AHO,AHO,2008,3,0,3,0,0,0,0,0,0,0,0,0
1972_ALB,ALB,1972,4,1,5,0,0,0,0,0,0,0,0,0
1992_ALB,ALB,1992,5,2,7,0,0,0,0,0,0,0,0,0
1996_ALB,ALB,1996,3,4,7,0,0,0,0,0,0,0,0,0
2000_ALB,ALB,2000,2,2,4,0,0,0,0,0,0,0,0,0
2004_ALB,ALB,2004,5,2,7,0,0,0,0,0,0,0,0,0
2008_ALB,ALB,2008,7,4,11,0,0,0,0,0,0,0,0,0
2012_ALB,ALB,2012,6,3,9,0,0,0,0,0,0,0,0,0
2016_ALB,ALB,2016,3,3,6,0,0,0,0,0,0,0,0,0
1964_ALG,ALG,1964,1,0,1,0,0,0,0,0,0,0,0,0
1968_ALG,ALG,1968,3,0,3,0,0,0,0,0,0,0,0,0
1972_ALG,ALG,1972,5,0,5,0,0,0,0,0,0,0,0,0
1980_ALG,ALG,1980,54,0,54,0,0,0,0,0,0,0,0,0
1984_ALG,ALG,1984,33,0,33,0,0,2,0,0,0,2,0,2
1988_ALG,ALG,1988,40,2,42,0,0,0,0,0,0,0,0,0
1992_ALG,ALG,1992,36,3,39,0,0,1,1,0,0,1,1,2
1996_ALG,ALG,1996,39,6,45,2,0,1,0,0,0,3,0,3
2000_ALG,ALG,2000,37,10,47,0,1,3,1,0,0,4,1,5
2004_ALG,ALG,2004,46,15,61,0,0,0,0,0,0,0,0,0
2008_ALG,ALG,2008,34,22,56,0,1,0,0,0,1,1,1,2
2012_ALG,ALG,2012,21,17,38,1,0,0,0,0,0,1,0,1
2016_ALG,ALG,2016,54,10,64,0,0,0,0,0,0,0,0,0
1976_AND,AND,1976,8,0,8,0,0,0,0,0,0,0,0,0
1980_AND,AND,1980,5,0,5,0,0,0,0,0,0,0,0,0
1984_AND,AND,1984,4,0,4,0,0,0,0,0,0,0,0,0
1988_AND,AND,1988,5,2,7,0,0,0,0,0,0,0,0,0
1992_AND,AND,1992,11,2,13,0,0,0,0,0,0,0,0,0
1996_AND,AND,1996,6,2,8,0,0,0,0,0,0,0,0,0
2000_AND,AND,2000,3,2,5,0,0,0,0,0,0,0,0,0
2004_AND,AND,2004,4,2,6,0,0,0,0,0,0,0,0,0
2008_AND,AND,2008,3,2,5,0,0,0,0,0,0,0,0,0
2012_AND,AND,2012,4,2,6,0,0,0,0,0,0,0,0,0
2016_AND,AND,2016,2,2,4,0,0,0,0,0,0,0,0,0
1980_ANG,ANG,1980,10,1,11,0,0,0,0,0,0,0,0,0
1988_ANG,ANG,1988,19,5,24,0,0,0,0,0,0,0,0,0
1992_ANG,ANG,1992,25,3,28,0,0,0,0,0,0,0,0,0
1996_ANG,ANG,1996,13,15,28,0,0,0,0,0,0,0,0,0
2000_ANG,ANG,2000,15,15,30,0,0,0,0,0,0,0,0,0
2004_ANG,ANG,2004,14,16,30,0,0,0,0,0,0,0,0,0
2008_ANG,ANG,2008,17,15,32,0,0,0,0,0,0,0,0,0
2012_ANG,ANG,2012,4,29,33,0,0,0,0,0,0,0,0,0
2016_ANG,ANG,2016,8,18,26,0,0,0,0,0,0,0,0,0
1976_ANT,ANT,1976,10,0,10,0,0,0,0,0,0,0,0,0
1984_ANT,ANT,1984,10,4,14,0,0,0,0,0,0,0,0,0
1988_ANT,ANT,1988,12,3,15,0,0,0,0,0,0,0,0,0
1992_ANT,ANT,1992,9,4,13,0,0,0,0,0,0,0,0,0
1996_ANT,ANT,1996,8,5,13,0,0,0,0,0,0,0,0,0
2000_ANT,ANT,2000,2,1,3,0,0,0,0,0,0,0,0,0
