id,Region,Year,female_gold_medals,female_silver_medals,female_bronze_medals,female_total_medals
2020_AUS,AUS,2020,13,1,5,19
2020_BRA,BRA,2020,1,1,0,2
2020_CAN,CAN,2020,1,1,1,3
2020_CHN,CHN,2020,9,4,0,13
2020_GBR,GBR,2020,2,2,0,4
2020_HUN,HUN,2020,1,1,0,2
2020_JAM,JAM,2020,4,1,0,5
2020_JPN,JPN,2020,2,0,0,2
2020_KOR,KOR,2020,2,0,0,2
2020_NED,NED,2020,3,1,1,5
2020_NZL,NZL,2020,5,2,0,7
2020_ROC,ROC,2020,2,0,0,2
2020_ROC RUS,ROC RUS,2020,8,2,0,10
2020_RSA,RSA,2020,1,1,0,2
2020_SUI,SUI,2020,1,1,0,2
2020_USA,USA,2020,9,5,1,15
