id,Country,Event,Gender,Participants
2020_AFG,AFG,ATH,Male,1
2020_AFG,AFG,ATH,Female,1
2020_AFG,AFG,SHO,Male,1
2020_AFG,AFG,SWM,Male,1
2020_AFG,AFG,TKW,Male,1
2020_AFG,AFG,Total,Male,4
2020_AFG,AFG,Total,Female,1
2020_AFG,AFG,Total,all,5
2020_ALB,ALB,ATH,Male,1
2020_ALB,ALB,ATH,Female,1
2020_ALB,ALB,GAR,Male,1
2020_ALB,ALB,JUD,Male,1
2020_ALB,ALB,SHO,Female,1
2020_ALB,ALB,SWM,Male,1
2020_ALB,ALB,SWM,Female,1
2020_ALB,ALB,WLF,Male,2
2020_ALB,ALB,Total,Male,6
2020_ALB,ALB,Total,Female,3
2020_ALB,ALB,Total,all,9
2020_ALG,ALG,ATH,Male,4
2020_ALG,ALG,ATH,Female,1
2020_ALG,ALG,BOX,Male,5
2020_ALG,ALG,BOX,Female,3
2020_ALG,ALG,CRD,Male,2
2020_ALG,ALG,CSP,Female,1
2020_ALG,ALG,FEN,Male,2
2020_ALG,ALG,FEN,Female,2
2020_ALG,ALG,JUD,Female,1
2020_ALG,ALG,KTE,Female,1
2020_ALG,ALG,OWS,Female,1
2020_ALG,ALG,ROW,Male,2
2020_ALG,ALG,SAL,Male,1
2020_ALG,ALG,SAL,Female,1
2020_ALG,ALG,SHO,Female,1
2020_ALG,ALG,SWM,Male,1
2020_ALG,ALG,SWM,Female,1
2020_ALG,ALG,TTE,Male,1
2020_ALG,ALG,WRE,Male,7
2020_ALG,ALG,Total,Male,25
2020_ALG,ALG,Total,Female,13
2020_ALG,ALG,Total,all,38
2020_AND,AND,ATH,Male,1
2020_AND,AND,CSL,Female,1
2020_AND,AND,Total,Male,1
2020_AND,AND,Total,Female,1
2020_AND,AND,Total,all,2
2020_ANG,ANG,ATH,Male,1
2020_ANG,ANG,HBL,Female,14
2020_ANG,ANG,JUD,Female,1
2020_ANG,ANG,SAL,Male,2
2020_ANG,ANG,SWM,Male,1
2020_ANG,ANG,SWM,Female,1
2020_ANG,ANG,Total,Male,4
2020_ANG,ANG,Total,Female,16
2020_ANG,ANG,Total,all,20
2020_ANT,ANT,ATH,Male,1
2020_ANT,ANT,ATH,Female,1
2020_ANT,ANT,BOX,Male,1
2020_ANT,ANT,SAL,Female,1
2020_ANT,ANT,SWM,Male,1
2020_ANT,ANT,SWM,Female,1
2020_ANT,ANT,Total,Male,3
2020_ANT,ANT,Total,Female,3
2020_ANT,ANT,Total,all,6
2020_ARG,ARG,ATH,Male,2
2020_ARG,ARG,ATH,Female,2
2020_ARG,ARG,BKB,Male,12
2020_ARG,ARG,BMX,Male,1
